1986,"330,437"
1987,"371,525"
1988,"322,086"
1989,"378,820"
1990,"363,437"
1991,"344,296"
1992,"319,085"
1993,"320,707"
1994,"264,959"
1995,"313,465"
1996,"361,586"
1997,"403,392"
1998,"291,103"
1999,"295,356"
2000,"317,819"
2001,"304,043"
2002,"313,236"
2003,"303,182"
2004,"293,788"
2005,"287,679"
2006,"289,588"
2007,"282,076"
2008,"303,671"
2009,"248,433"
2010,"308,014"
2011,"286,805"
2012,"279,505"
2013,"279,593"
2014,"348,506"
2015,"274,463"
2016,"305,268"
2017,"402,704"
2018,"377,315"
2019,"342,399"
2020,"403,217"
2021,"344,175"
2022,"455,040"
2023,"432,291"
2024,"557,306"
