año,total_embarcaciones
1989,"4,745"
1990,"4,780"
1991,"4,762"
1992,"4,786"
1993,"4,793"
1994,"4,827"
1995,"6,147"
1996,"6,421"
1997,"5,473"
1998,"5,475"
1999,"5,475"
2000,"5,536"
2001,"5,537"
2002,"5,538"
2003,"5,541"
2004,"5,539"
2005,"5,539"
2006,"5,557"
2007,"5,557"
2008,"4,496"
2009,"5,557"
2010,"5,056"
2011,"4,964"
2012,"5,675"
2013,"4,051"
2014,"5,265"
2015,"4,876"
2016,"4,902"
2017,"5,024"
2018,"6,782"
2019,"6,672"
2020,"6,668"
2021,"6,547"
2022,"6,640"
2023,"6,798"
2024,"6,886"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
